signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_129331	0.4132106317	1.60334034e-11	245	PD-0325901	LSM-1101	MAP2K1|MAP2K2	1.11uM	HUVEC	24h	LINCSCP_129331
LINCSCP_81576	0.4131994738	1.605549418e-11	245	BRD-K01425431	NA	NA	0.37uM	A549	24h	LINCSCP_81576
LINCSCP_11749	0.4131992259	1.605598531e-11	245	Selumetinib	LSM-1056	MAP2K1|MAP2K2	0.5uM	BT20	24h	LINCSCP_11749
LINCSCP_240213	0.4131971986	1.606000239e-11	245	GSK-461364	LSM-1013	PLK1	10uM	MCF7	6h	LINCSCP_240213
LINCSCP_47159	0.4131803053	1.609351379e-11	245	CHEMBL2137269	LSM-41953	NA	10uM	PC3	24h	LINCSCP_47159
LINCSCP_36342	0.4131709315	1.611213787e-11	245	Wortmannin	LSM-3947	PIK3CA|PIK3CG|PLK1	1uM	MCF7	6h	LINCSCP_36342
LINCSCP_78878	0.4131513123	1.615118599e-11	245	MK-2206	LSM-1057	AKT1|AKT2|AKT3	10uM	A375	24h	LINCSCP_78878
LINCSCP_163669	0.4131292485	1.619520978e-11	245	PI-103	LSM-1126	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG	0.37uM	SKBR3	24h	LINCSCP_163669
LINCSCP_144807	0.4130894388	1.627493715e-11	245	Apitolisib (gdc-0980, rg7422)	LSM-4257	PIK3CA|PIK3CB|PIK3CD|PIK3CG|MTOR	10uM	MDAMB231	24h	LINCSCP_144807
LINCSCP_131136	0.4130754066	1.630313052e-11	245	AZD-8055	LSM-1007	MTOR	1.11uM	MCF10A	24h	LINCSCP_131136
LINCSCP_58985	0.4130720085	1.630996513e-11	245	QL-XI-92	LSM-42736	DDR1	10uM	VCAP	24h	LINCSCP_58985
LINCSCP_19242	0.4130241231	1.640657393e-11	245	AC1MSUFC	LSM-6191	HMGCR	40uM	HCC515	24h	LINCSCP_19242
LINCSCP_155199	0.4130188525	1.641724123e-11	245	PI-103	LSM-1126	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG	10uM	PC3	24h	LINCSCP_155199
LINCSCP_81652	0.4130186553	1.64176406e-11	245	EX-8678	LSM-1147	NA	3.33uM	A549	24h	LINCSCP_81652
LINCSCP_363	0.4130058799	1.644352587e-11	245	Linopirdine	LSM-3317	KCNQ2|KCNQ3	10uM	A375	24h	LINCSCP_363
LINCSCP_111858	0.4129964992	1.646255827e-11	245	AS-605240	LSM-42784	PIK3CG	0.04uM	HEPG2	24h	LINCSCP_111858
LINCSCP_241028	0.4129835512	1.648886341e-11	245	9-[3-(3,5-Dimethylpiperazin-1-yl)propyl]-9H-carbazole	LSM-1693	SIGMAR1	10uM	MCF7	24h	LINCSCP_241028
LINCSCP_26856	0.4129814831	1.64930686e-11	245	Falnidamol	LSM-3584	EGFR	10uM	HT29	6h	LINCSCP_26856
LINCSCP_68782	0.4129597694	1.653728491e-11	245	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	VCAP	24h	LINCSCP_68782
LINCSCP_81401	0.4129499136	1.655739276e-11	245	GSK 1059615	LSM-42799	PIK3CA|PIK3CB|PIK3CD|PIK3CG	3.33uM	A549	24h	LINCSCP_81401
LINCSCP_68831	0.4129359786	1.658586351e-11	245	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	1uM	VCAP	24h	LINCSCP_68831
LINCSCP_96847	0.412902616	1.665422056e-11	245	Pitavastatin Calcium	LSM-45806	HMGCR	3.33uM	HA1E	24h	LINCSCP_96847
LINCSCP_117314	0.4128894396	1.66812934e-11	245	1268524-70-4	LSM-6332	NA	0.37uM	HT29	24h	LINCSCP_117314
LINCSCP_4607	0.4128870874	1.668613064e-11	245	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	A549	24h	LINCSCP_4607
LINCSCP_114881	0.4128669146	1.67276733e-11	245	AZD-8330	LSM-1165	MAP2K1|MAP2K2	0.12uM	HS578T	24h	LINCSCP_114881
