term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
REP.A006_HELA_24H_B08_estradiol_3.33uM up	4860044d-7331-4270-a5ec-a2a5428aa5b3	250	8.330109048145623e-28	1.9145614536334202e-23	4.419944289693594	70	REP.A006	HELA	24H	B08	estradiol	3.33uM	up
REP.A008_PC3_24H_A13_niclosamide_10uM down	a85bc6e0-0ae7-467c-94f7-f84c6546b2e4	250	8.330109048145623e-28	1.9145614536334202e-23	4.419944289693594	70	REP.A008	PC3	24H	A13	niclosamide	10uM	down
KMS002_NOMO1_24H_E03_BRD-K51556300_10uM down	01c01094-3e6d-44e9-8cc2-d301395e79e8	250	8.330109048145623e-28	1.9145614536334202e-23	4.419944289693594	70	KMS002	NOMO1	24H	E03	BRD-K51556300	10uM	down
ERG005_VCAP_6H_K07_LY-294002_20uM down	967cb509-8527-48d1-aa0a-10761c639ee4	250	8.330109048145623e-28	1.9145614536334202e-23	4.419944289693594	70	ERG005	VCAP	6H	K07	LY-294002	20uM	down
AICHI001_THP1_4H_A14_GSK-2110183_2.5uM down	467b3a68-b17b-4c35-8ffc-9e42f54697b1	250	8.330109048145623e-28	1.9145614536334202e-23	4.419944289693594	70	AICHI001	THP1	4H	A14	GSK-2110183	2.5uM	down
AICHI001_THP1_4H_A08_GDC-0941_2.5uM down	f53d8b1c-f8fb-4c50-b3cb-7f9d0fdc52a6	250	8.330109048145623e-28	1.9145614536334202e-23	4.419944289693594	70	AICHI001	THP1	4H	A08	GDC-0941	2.5uM	down
REP.B012_HT29_24H_O19_cobimetinib_2.22uM down	1e11f2e1-8753-42d0-9eec-bd6d94d45245	250	8.330109048145623e-28	1.9145614536334202e-23	4.419944289693594	70	REP.B012	HT29	24H	O19	cobimetinib	2.22uM	down
LJP009_JURKAT_24H_K07_GSK-1059615_10uM down	99052a2d-4a13-442b-ae53-1ef71cb64c0e	250	8.330109048145623e-28	1.9145614536334202e-23	4.419944289693594	70	LJP009	JURKAT	24H	K07	GSK-1059615	10uM	down
REP.A011_HT29_24H_E02_PD-184352_3.33uM down	588af2b7-6407-4fbb-8169-ff5f5a5506fe	250	5.3243369009738714e-27	1.1452819325818546e-22	4.356802228412256	69	REP.A011	HT29	24H	E02	PD-184352	3.33uM	down
KMS002_NOMO1_6H_E03_BRD-K51556300_10uM down	cd77140e-1d28-49e5-b56e-1f016429393e	250	5.3243369009738714e-27	1.1452819325818546e-22	4.356802228412256	69	KMS002	NOMO1	6H	E03	BRD-K51556300	10uM	down
CPC018_HT29_6H_D02_U-0126_10uM down	89d77a32-bab0-4ae6-8887-49c6a7a5aba1	250	5.3243369009738714e-27	1.1452819325818546e-22	4.356802228412256	69	CPC018	HT29	6H	D02	U-0126	10uM	down
REP.A004_HT29_24H_M07_camicinal_10uM down	ebb9e843-7667-4329-99e1-b94ca5802189	250	5.3243369009738714e-27	1.1452819325818546e-22	4.356802228412256	69	REP.A004	HT29	24H	M07	camicinal	10uM	down
